Rank,Rating,User
1,0.940849673203,29609.0
1,4.68174603175,116757.0
1,4.21473115362,44141.0
2,2.04634664,29609.0
2,4.62118055911,116757.0
2,4.35362004251,44141.0
3,2.02777777778,29609.0
3,4.5917443109,116757.0
3,4.16997017999,44141.0
4,1.9408496732,29609.0
4,4.42455304527,116757.0
4,4.11781697477,44141.0
5,2.39257169212,29609.0
5,4.65012569405,116757.0
5,4.62213856103,44141.0
6,1.9408496732,29609.0
6,3.18174603175,116757.0
6,4.4925089314,44141.0
7,1.9408496732,29609.0
7,3.18174603175,116757.0
7,4.4925089314,44141.0
8,1.9408496732,29609.0
8,3.18174603175,116757.0
8,4.4925089314,44141.0
9,2.4162138525,29609.0
9,4.56466952489,116757.0
9,4.30741864796,44141.0
10,2.27418300654,29609.0
10,4.19285714286,116757.0
10,4.11786505675,44141.0
11,3.05066545441,29609.0
11,4.84841269841,116757.0
11,4.9925089314,44141.0
12,2.9408496732,29609.0
12,4.76507936508,116757.0
12,4.60362004251,44141.0
13,3.02116219428,29609.0
13,4.84841269841,116757.0
13,4.65917559806,44141.0
14,2.49461491627,29609.0
14,4.28644777657,116757.0
14,4.14075443553,44141.0
15,2.4812423167,29609.0
15,4.26947142622,116757.0
15,4.12935228777,44141.0
16,2.48588362552,29609.0
16,4.26738958566,116757.0
16,4.08652602541,44141.0
17,2.48588362552,29609.0
17,4.26738958566,116757.0
17,4.08652602541,44141.0
18,3.12818355024,29609.0
18,4.34841269841,116757.0
18,4.9925089314,44141.0
19,3.12818355024,29609.0
19,4.34841269841,116757.0
19,4.9925089314,44141.0
20,2.35751633987,29609.0
20,3.95674603175,116757.0
20,3.98652602541,44141.0
21,2.35751633987,29609.0
21,3.95674603175,116757.0
21,3.98652602541,44141.0
